업소명,동,아메리카노,경도,위도,근처 카페 수,면적,동,동 면적,인구,동 카페 수
빠빠라기,1,3500,126.5292808,33.49999951,10,99,1,6.26,"57,748",41
배스킨라빈스광양점,1,2500,126.5295554,33.49962962,10,36.88,1,6.26,"57,748",41
커피피플,1,3200,126.5311305,33.49860925,9,59.4,1,6.26,"57,748",41
전농로일공일,2,3500,126.5241705,33.50451177,1,62.54,2,1.7,"22,138",4
탐앤탐스제주점,1,4100,126.5301939,33.49861203,10,404.57,1,6.26,"57,748",41
와플반트,6,3500,126.5432715,33.50197981,0,60,6,2.5,"36,660",16
일이육삼,14,4000,126.7373644,33.55522814,0,79.02,14,185.93,"15,651",12
배스킨라빈스연동점,3,2500,126.4900062,33.48088297,3,48.78,3,12.3,"41,522",25
이디야제주시청점,1,4200,126.5296056,33.4979051,9,54.23,1,6.26,"57,748",41
봄봄,4,1300,126.5611311,33.46031578,3,35,4,70.48,"34,357",27
배스킨라빈스신제주점,5,2500,126.4843321,33.48860656,2,66.05,5,45.21,"53,953",27
브라운,3,4000,126.4913695,33.47689517,2,128,3,12.3,"41,522",25
이디야에스프레소제주노형점,5,4200,126.4747996,33.48927214,1,38.16,5,45.21,"53,953",27
이디야커피중앙점,6,4200,126.5260141,33.51334807,8,98.86,6,2.5,"36,660",16
이디야커피연동점,3,4200,126.4903245,33.48968263,0,89.89,3,12.3,"41,522",25
이삭토스트제주대점,4,2500,126.5579812,33.45918369,1,19.8,4,70.48,"34,357",27
위더스트래블칠성점,6,3700,126.5251652,33.51523324,5,102.46,6,2.5,"36,660",16
배스킨라빈스노형점,5,2500,126.4756134,33.48894408,1,49.87,5,45.21,"53,953",27
배스킨라빈스31일도점,6,2500,126.541042,33.50506633,3,114.28,6,2.5,"36,660",16
이삭토스트칠성로점,6,2500,126.5269679,33.51344693,6,10.35,6,2.5,"36,660",16
카페띠아모제주대점,4,3500,126.5616472,33.4603536,3,66,4,70.48,"34,357",27
떼르떼,5,0,126.4696903,33.48368644,1,115.3,5,45.21,"53,953",27
띠아모노형점,5,3500,126.4698667,33.4838434,1,49.5,5,45.21,"53,953",27
탐앤탐스신제주점,3,4100,126.4896144,33.48745129,1,280,3,12.3,"41,522",25
피델리오,5,3500,126.4779645,33.47756099,0,43.02,5,45.21,"53,953",27
샤라의정원,12,5000,126.6990152,33.48579459,0,112.93,12,150.68,"24,531",9
커피애,6,3000,126.5384439,33.50550166,2,53,6,2.5,"36,660",16
하우스레서피당근케이크,13,4000,126.2955228,33.44385206,0,48.36,13,91.09,"21,388",7
카페로지,4,3200,126.5624688,33.46043756,3,131.28,4,70.48,"34,357",27
던킨도너츠노형대림점,5,3000,126.4846043,33.48895404,1,66.1,5,45.21,"53,953",27
까페띠아모중앙점,1,3500,126.5237283,33.51123655,1,115.5,1,6.26,"57,748",41
던킨도너츠일도점,6,3000,126.5414271,33.50540861,2,50,6,2.5,"36,660",16
신비의사랑,5,4000,126.4861626,33.4486352,1,90,5,45.21,"53,953",27
카페베네연동점,3,4100,126.493011,33.48600431,1,148,3,12.3,"41,522",25
산책,11,2000,126.3368676,33.46691718,0,53,11,202.16,"36,110",21
초계미술관,11,5000,126.3904001,33.48719785,0,33,11,202.16,"36,110",21
카페슬로리,11,0,126.4006526,33.43422798,0,75,11,202.16,"36,110",21
아띠마루커피랩,7,2500,126.5137333,33.50038513,0,38.52,7,5.54,"22,503",9
카치토,5,4500,126.4835782,33.47407166,0,14.4,5,45.21,"53,953",27
노을언덕,8,2500,126.4833994,33.51061795,1,242,8,4.03,"3,151",5
해즈빈여상점,6,3500,126.5372532,33.51380012,0,123.08,6,2.5,"36,660",16
다빈치카페이도점,4,3500,126.5425779,33.49219092,5,99,4,70.48,"34,357",27
고희,1,3000,126.5523737,33.4969,4,82.51,1,6.26,"57,748",41
할리스커피제주이도점,4,4100,126.5428008,33.49260193,6,148.93,4,70.48,"34,357",27
클라우드나인커피,1,4000,126.5292768,33.4990356,10,173.77,1,6.26,"57,748",41
